3,2399.782,36,3.0567,0.0415,0.0423,0.0423,0.0414,0.0416,0.0429,0.0412,0.0418,0.0428,0.0417,0.0423,0.0414,0.0706,0.0826,0.0804,0.0766,0.0727,0.0712,0.0824,0.0854,0.0743,0.0722,0.0419,0.0432,0.0771,0.0833,0.084,0.0765,0.0805,0.0743,0.0859,0.0805,0.0714,0.0752,0.0425,0.0421,0.0742,0.0904,0.0849,0.078,0.0765,0.0675,0.0776,0.0767,0.071,0.0797,0.0414,0.0424,0.0741,0.0776,0.0832,0.0795,0.08,0.0659,0.0719,0.0774,0.0724,0.0712,0.0415,0.0419,0.0763,0.0819,0.0819,0.075,0.0752,0.0682,0.0747,0.0759,0.0722,0.0709,0.0416,0.0424,0.0736,0.0796,0.085,0.0813,0.0802,0.0723,0.0789,0.0791,0.0786,0.076,0.0419,0.0428,0.0433,0.042,0.0426,0.0433,0.0422,0.0419,0.0418,0.0418,0.0432,0.0418,0.0417
4,3599.646,36.7,3.0407,0.0416,0.0424,0.0423,0.0415,0.0418,0.0431,0.0413,0.0419,0.0428,0.0416,0.0425,0.0415,0.0741,0.0923,0.0882,0.0778,0.078,0.0713,0.0866,0.0855,0.0773,0.0762,0.0418,0.0432,0.0844,0.0926,0.0921,0.0783,0.0842,0.0749,0.0879,0.0866,0.0755,0.0796,0.0426,0.042,0.0782,0.0994,0.0922,0.0799,0.081,0.0726,0.0778,0.083,0.0749,0.0823,0.0413,0.0423,0.0778,0.0821,0.0871,0.0831,0.087,0.0683,0.0733,0.0829,0.0749,0.0725,0.0415,0.0418,0.0841,0.0905,0.0866,0.0807,0.0778,0.0709,0.0788,0.0802,0.0745,0.0738,0.0417,0.0426,0.0789,0.0858,0.0938,0.0874,0.0865,0.0764,0.0847,0.0811,0.082,0.0793,0.0419,0.0428,0.0432,0.0421,0.0425,0.0432,0.0422,0.0417,0.0419,0.0417,0.0432,0.0419,0.0417
5,4799.663,36,3.0334,0.0416,0.0424,0.0423,0.0415,0.0416,0.043,0.0412,0.0418,0.0427,0.0417,0.0425,0.0416,0.079,0.0978,0.0947,0.084,0.0864,0.0793,0.0959,0.0944,0.0795,0.0806,0.0418,0.0432,0.0872,0.1035,0.1007,0.0851,0.0959,0.0804,0.0964,0.0905,0.0813,0.0833,0.0426,0.0421,0.0861,0.1107,0.1009,0.0872,0.0908,0.0758,0.0841,0.0883,0.0811,0.0887,0.0413,0.0423,0.0842,0.0886,0.0969,0.0912,0.0919,0.07,0.0784,0.0876,0.081,0.0768,0.0415,0.0417,0.0951,0.1007,0.0939,0.0888,0.0877,0.0752,0.0835,0.0869,0.0778,0.0769,0.0416,0.0425,0.0863,0.0967,0.1026,0.0975,0.0948,0.0817,0.0902,0.087,0.0856,0.0841,0.042,0.0429,0.0433,0.0421,0.0426,0.0432,0.0422,0.0417,0.0419,0.0418,0.0432,0.0418,0.0418
6,5999.632,35.8,3.0302,0.0414,0.0423,0.0423,0.0413,0.0414,0.0429,0.0411,0.0417,0.0426,0.0416,0.0422,0.0416,0.0861,0.1106,0.1039,0.0874,0.0917,0.0827,0.101,0.101,0.0841,0.0848,0.0417,0.043,0.0974,0.1148,0.1125,0.0954,0.107,0.0848,0.1049,0.0978,0.0844,0.0897,0.0424,0.042,0.0935,0.1236,0.1119,0.0917,0.0999,0.0765,0.0885,0.0928,0.0871,0.0921,0.0412,0.0422,0.0904,0.0949,0.1049,0.099,0.0988,0.0733,0.0824,0.0934,0.0891,0.0812,0.0415,0.0416,0.1054,0.1138,0.1044,0.0976,0.0934,0.0801,0.0886,0.0946,0.0845,0.081,0.0415,0.0424,0.0975,0.1056,0.1108,0.1086,0.1042,0.0893,0.0954,0.0917,0.0908,0.0907,0.0418,0.0428,0.0431,0.0419,0.0426,0.0431,0.0421,0.0416,0.0417,0.0418,0.0431,0.0417,0.0418
7,7199.527,35.9,3.0153,0.0417,0.0424,0.0423,0.0413,0.0416,0.0429,0.0411,0.0417,0.0427,0.0416,0.0423,0.0416,0.0962,0.1218,0.1108,0.0935,0.1001,0.088,0.1122,0.1076,0.0917,0.0912,0.0418,0.0431,0.107,0.1323,0.1202,0.1063,0.1212,0.0922,0.1144,0.1062,0.0912,0.0973,0.0426,0.042,0.1039,0.1372,0.1258,0.098,0.1111,0.0798,0.094,0.0983,0.0951,0.0991,0.0414,0.0424,0.0988,0.1062,0.1151,0.1058,0.1095,0.0758,0.0885,0.101,0.0957,0.0883,0.0415,0.0417,0.1244,0.1298,0.1198,0.1085,0.1068,0.0833,0.0939,0.0985,0.0914,0.0858,0.0416,0.0424,0.1134,0.1197,0.1237,0.123,0.1171,0.0941,0.1022,0.0972,0.0972,0.1001,0.0419,0.0428,0.0433,0.0421,0.0426,0.0431,0.0421,0.0417,0.0417,0.0417,0.0432,0.0417,0.0417
8,8399.539,35.7,3.0155,0.0417,0.0424,0.0422,0.0416,0.0416,0.043,0.0412,0.0418,0.0427,0.0416,0.0424,0.0416,0.1058,0.1355,0.1234,0.1013,0.106,0.0915,0.1164,0.117,0.0983,0.0967,0.0418,0.0431,0.1266,0.1481,0.1328,0.1195,0.1359,0.0982,0.1228,0.1158,0.0988,0.1052,0.0425,0.042,0.116,0.1583,0.1359,0.1043,0.1194,0.0827,0.0999,0.1071,0.1019,0.1064,0.0414,0.0421,0.1073,0.1137,0.1274,0.1168,0.1182,0.0787,0.0928,0.1077,0.1036,0.0934,0.0414,0.0418,0.1408,0.1487,0.1315,0.124,0.1224,0.0864,0.1012,0.1075,0.0979,0.0932,0.0415,0.0424,0.1317,0.1302,0.136,0.1404,0.1338,0.099,0.109,0.1031,0.1034,0.1071,0.0418,0.0429,0.0435,0.042,0.0426,0.0432,0.0421,0.0418,0.0418,0.0417,0.0432,0.0417,0.0418
9,9599.35,36,2.9972,0.0417,0.0425,0.0424,0.0415,0.0417,0.0431,0.0413,0.0417,0.0426,0.0415,0.0425,0.0415,0.1194,0.1501,0.1376,0.1126,0.1148,0.0969,0.128,0.1232,0.106,0.1057,0.0417,0.0432,0.1416,0.1678,0.1472,0.1385,0.1523,0.1014,0.1329,0.1224,0.1052,0.1124,0.0427,0.042,0.1312,0.1731,0.1481,0.1147,0.1336,0.0888,0.1064,0.1119,0.1094,0.1145,0.0413,0.0423,0.1156,0.1249,0.1402,0.1284,0.1321,0.0805,0.0982,0.1134,0.1101,0.1008,0.0415,0.0419,0.1575,0.1641,0.148,0.135,0.1373,0.0895,0.1065,0.1126,0.105,0.0989,0.0415,0.0424,0.1464,0.1454,0.1492,0.1592,0.1513,0.1061,0.1151,0.11,0.1114,0.1149,0.0419,0.043,0.0434,0.0421,0.0427,0.0433,0.0422,0.0419,0.042,0.0418,0.0434,0.0419,0.0418
10,10798.383,36,2.9943,0.0417,0.0424,0.0424,0.0415,0.0416,0.0429,0.0411,0.0419,0.0427,0.0417,0.0424,0.0416,0.129,0.1666,0.1515,0.1226,0.1212,0.1013,0.1337,0.1306,0.1112,0.1158,0.0418,0.0432,0.1582,0.1865,0.1666,0.1562,0.1689,0.1072,0.1417,0.1308,0.1129,0.1212,0.0426,0.0421,0.1504,0.1918,0.1684,0.1261,0.1488,0.0919,0.1113,0.1155,0.1179,0.1212,0.0414,0.0423,0.1261,0.1375,0.1569,0.1419,0.147,0.0843,0.1027,0.1207,0.1169,0.1071,0.0416,0.0418,0.1789,0.1836,0.1656,0.1514,0.1576,0.0929,0.1133,0.1198,0.1132,0.1072,0.0415,0.0426,0.1646,0.1603,0.1672,0.1824,0.1688,0.1126,0.1201,0.1147,0.1202,0.1238,0.0419,0.0429,0.0434,0.042,0.0426,0.0432,0.0421,0.0418,0.0417,0.0418,0.0433,0.0417,0.0418
11,11999.382,36.2,2.9992,0.0417,0.0424,0.0425,0.0416,0.0416,0.0431,0.0413,0.0419,0.0427,0.0416,0.0426,0.0416,0.148,0.1836,0.169,0.1352,0.1314,0.1062,0.1436,0.1386,0.1183,0.1233,0.0419,0.0434,0.1765,0.2137,0.1859,0.1755,0.1875,0.1118,0.1515,0.1371,0.1204,0.1294,0.0425,0.0421,0.166,0.2178,0.1869,0.1414,0.1674,0.0965,0.1177,0.1221,0.1259,0.1272,0.0414,0.0423,0.1399,0.1516,0.175,0.1569,0.1632,0.0861,0.1087,0.1275,0.1246,0.1142,0.0416,0.0418,0.2014,0.2053,0.1851,0.1705,0.1743,0.0954,0.1185,0.1276,0.1195,0.1128,0.0414,0.0424,0.187,0.1768,0.1857,0.2022,0.1916,0.1206,0.1288,0.1213,0.1293,0.1314,0.042,0.0429,0.0434,0.0419,0.0426,0.0431,0.042,0.0418,0.0417,0.0418,0.0432,0.0417,0.0417
12,13199.234,36.2,2.9867,0.0416,0.0425,0.0424,0.0415,0.0417,0.043,0.0413,0.0417,0.0427,0.0417,0.0426,0.0414,0.1674,0.209,0.1922,0.1461,0.1442,0.1109,0.1508,0.1455,0.1263,0.1314,0.0418,0.0433,0.2011,0.2418,0.2101,0.1963,0.2121,0.1182,0.1605,0.1475,0.1264,0.136,0.0425,0.0422,0.1862,0.2467,0.2097,0.1592,0.1875,0.0998,0.1251,0.1278,0.1324,0.1361,0.0412,0.0423,0.1552,0.1675,0.1991,0.1761,0.186,0.0895,0.1147,0.136,0.133,0.1208,0.0415,0.0419,0.2286,0.2309,0.2025,0.1878,0.1989,0.0984,0.1246,0.1348,0.1259,0.1187,0.0416,0.0425,0.2049,0.2004,0.2112,0.2271,0.2136,0.1283,0.1345,0.1271,0.1363,0.1402,0.0419,0.0428,0.0434,0.0418,0.0426,0.0431,0.0422,0.0418,0.0418,0.0419,0.0432,0.0417,0.0418
